City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Richmond,US,2021-07-31 02:14:43,37.5538,-77.4603,79.99,89,20,3.44
155,Coihaique,CL,2021-07-31 02:16:19,-45.5752,-72.0662,31.95,86,0,3.44
156,Sitka,US,2021-07-31 02:16:19,57.0531,-135.33,67.89,68,20,3.44
157,Tanout,NE,2021-07-31 02:16:19,14.9709,8.8879,83.3,59,69,11.39
158,Orange,US,2021-07-31 02:15:30,33.7,-117.7675,94.68,71,75,1.01
159,Saint-Philippe,RE,2021-07-31 02:15:46,-21.3585,55.7679,67.59,71,33,11.99
160,Beisfjord,NO,2021-07-31 02:16:20,68.3751,17.5988,55.04,98,100,5.3
161,Dikson,RU,2021-07-31 02:16:20,73.5069,80.5464,42.01,99,100,0.87
162,Valdivia,CL,2021-07-31 02:16:20,-39.8142,-73.2459,39.92,98,35,1.77
163,Butaritari,KI,2021-07-31 02:14:47,3.0707,172.7902,80.26,77,65,3.49
164,Tabas,IR,2021-07-31 02:16:20,33.5959,56.9244,81.63,24,0,1.5
165,Furth Im Wald,DE,2021-07-31 02:16:21,49.3097,12.84,64.54,97,100,6.64
166,Jaru,BR,2021-07-31 02:16:21,-10.4389,-62.4664,68.63,38,0,3.94
167,Bethel,US,2021-07-31 02:16:22,41.3712,-73.414,70.56,67,1,5.75
168,Muros,ES,2021-07-31 02:16:22,42.7762,-9.0603,59.99,84,16,8.12
169,Manaquiri,BR,2021-07-31 02:16:22,-3.3167,-60.35,77.45,66,9,2.46
170,Hambantota,LK,2021-07-31 02:16:22,6.1241,81.1185,80.89,77,81,20.18
171,Iqaluit,CA,2021-07-31 02:16:23,63.7506,-68.5145,55.13,66,90,11.99
172,Margate,GB,2021-07-31 02:16:23,51.3813,1.3862,59.04,84,46,3.0
173,Hami,CN,2021-07-31 02:16:23,42.8,93.45,84.96,24,100,11.32
174,Kavieng,PG,2021-07-31 02:16:24,-2.5744,150.7967,84.65,70,65,7.31
175,Najran,SA,2021-07-31 02:16:24,17.4924,44.1277,86.65,41,90,0.83
176,Hofn,IS,2021-07-31 02:16:24,64.2539,-15.2082,48.45,87,15,8.59
177,Lucapa,AO,2021-07-31 02:16:25,-8.4192,20.7447,63.39,32,0,5.66
178,Aketi,CD,2021-07-31 02:16:25,2.7388,23.7833,70.23,93,100,2.15
179,Kindu,CD,2021-07-31 02:16:25,-2.95,25.95,70.95,44,83,2.57
180,Morro Bay,US,2021-07-31 02:16:25,35.3658,-120.8499,82.18,81,26,1.99
181,Boralday,KZ,2021-07-31 02:16:26,43.3578,76.8594,66.06,55,40,2.24
182,Thompson,CA,2021-07-31 02:16:26,55.7435,-97.8558,68.16,45,40,9.22
183,General Bravo,MX,2021-07-31 02:16:26,25.8,-99.1667,90.73,46,97,21.03
184,Lebu,CL,2021-07-31 02:16:27,-37.6167,-73.65,49.42,86,40,15.01
185,Conceicao Do Araguaia,BR,2021-07-31 02:16:27,-8.2578,-49.2647,78.93,50,0,5.75
186,Tazovskiy,RU,2021-07-31 02:16:27,67.4667,78.7,54.93,69,28,10.18
187,Jacareacanga,BR,2021-07-31 02:16:27,-6.2222,-57.7528,73.72,54,9,0.18
188,Santa Cruz,BO,2021-07-31 02:11:48,-17.8,-63.1667,56.66,54,54,5.75
