City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Ust-Nera,RU,64.5667,143.2,65.41,49,80,3.85,broken clouds
159,Shakawe,BW,-18.3667,21.85,51.8,45,0,6.13,clear sky
160,Toamasina,MG,-18.1667,49.3833,66.58,84,79,3.53,light rain
161,Pangnirtung,CA,66.1451,-65.7125,52.81,62,100,4.0,overcast clouds
162,Half Moon Bay,US,37.4636,-122.4286,93.74,64,40,1.01,scattered clouds
163,Ormara,PK,25.2088,64.6357,81.54,82,85,14.52,overcast clouds
164,Cabo San Lucas,MX,22.8909,-109.9124,95.5,67,75,1.01,broken clouds
165,Zhigansk,RU,66.7697,123.3711,71.71,41,15,8.37,few clouds
166,Qaqortoq,GL,60.7167,-46.0333,54.1,82,76,6.6,broken clouds
167,Junin,AR,-34.5838,-60.9433,47.98,47,0,4.03,clear sky
168,Dalmatovo,RU,56.26,62.9362,63.14,94,99,6.87,light rain
169,Broome,US,42.2506,-75.833,71.65,60,1,1.01,clear sky
170,Kodiak,US,57.79,-152.4072,60.31,77,90,8.05,overcast clouds
171,Ilulissat,GL,69.2167,-51.1,57.22,47,27,11.5,scattered clouds
172,Grindavik,IS,63.8424,-22.4338,53.56,100,90,10.36,fog
173,Padang,ID,-0.9492,100.3543,75.94,87,100,3.38,overcast clouds
174,Cordoba,AR,-31.4135,-64.1811,56.59,33,0,1.01,clear sky
175,Flinders,AU,-34.5833,150.8552,73.38,50,1,8.41,clear sky
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.76,62,99,10.83,overcast clouds
177,Verkhnevilyuysk,RU,63.4453,120.3167,67.51,48,1,3.04,clear sky
178,Tan An,VN,10.5333,106.4167,78.82,91,55,7.87,broken clouds
179,Maceio,BR,-9.6658,-35.7353,76.44,83,40,12.66,scattered clouds
180,Marsh Harbour,BS,26.5412,-77.0636,84.67,68,41,9.44,scattered clouds
181,Zhob,PK,31.3411,69.4481,81.25,44,2,1.83,clear sky
182,East London,ZA,-33.0153,27.9116,66.09,25,95,6.6,overcast clouds
183,Aland,IN,17.5667,76.5667,72.59,85,100,14.05,overcast clouds
184,Ancud,CL,-41.8697,-73.8203,40.53,80,31,2.8,scattered clouds
185,Gravdal,NO,68.1214,13.5031,48.52,77,100,9.89,overcast clouds
186,Miranda De Ebro,ES,42.6865,-2.947,57.63,94,31,2.86,scattered clouds
187,Millbury,US,42.194,-71.7601,73.85,62,1,1.01,clear sky
188,Carnarvon,AU,-24.8667,113.6333,53.67,57,90,5.75,overcast clouds
189,Mae Sai,TH,20.4335,99.8762,75.43,95,100,1.54,overcast clouds
190,Upernavik,GL,72.7868,-56.1549,43.39,77,100,3.69,overcast clouds
191,Husyatyn,UA,49.0726,26.2141,68.5,93,61,8.52,broken clouds
192,Krivosheino,RU,57.3431,83.9261,57.33,95,97,2.08,light rain
193,Portland,US,45.5234,-122.6762,91.45,39,90,9.22,overcast clouds
194,Gweta,BW,-20.1833,25.2333,55.71,54,0,9.8,clear sky
195,Kotka,FI,60.4664,26.9458,61.86,90,7,13.4,clear sky
196,Sardarshahr,IN,28.4333,74.4833,85.87,73,73,6.73,broken clouds
197,Araguaina,BR,-7.1911,-48.2072,86.41,28,39,3.85,scattered clouds
198,Hualmay,PE,-11.0964,-77.6139,64.98,79,27,12.08,scattered clouds
199,Bagdarin,RU,54.4333,113.6,53.11,90,99,2.68,overcast clouds
200,Constitucion,CL,-35.3333,-72.4167,52.75,80,45,8.21,scattered clouds
201,Port Elizabeth,ZA,-33.918,25.5701,59.86,46,95,4.36,overcast clouds
202,Hirara,JP,24.8,125.2833,82.67,85,100,19.51,overcast clouds
203,Ola,RU,59.5833,151.2833,58.89,63,35,0.56,scattered clouds
204,Myre,NO,69.1036,15.9492,46.35,76,98,5.17,light rain
205,Pilas,ES,37.3034,-6.301,76.48,38,95,11.32,overcast clouds
206,Darhan,MN,49.4867,105.9228,59.74,87,84,0.94,broken clouds
207,Richards Bay,ZA,-28.783,32.0377,60.46,85,0,9.53,clear sky
208,Taoudenni,ML,22.6783,-3.9836,102.24,12,1,1.95,clear sky
209,Kruisfontein,ZA,-34.0033,24.7314,56.26,31,63,4.68,broken clouds
210,Qasigiannguit,GL,68.8193,-51.1922,57.45,71,25,2.15,scattered clouds
211,Ixtapa,MX,20.7,-105.2,87.22,74,75,10.36,broken clouds
212,Taybad,IR,34.74,60.7756,75.0,17,0,18.54,clear sky
213,Talnakh,RU,69.4865,88.3972,53.22,83,21,9.01,few clouds
214,Komsomolskiy,UZ,40.4272,71.7189,76.42,27,51,2.01,broken clouds
215,Morinville,CA,53.8001,-113.652,90.64,35,0,6.53,clear sky
216,Moerai,PF,-22.4333,-151.3333,71.69,64,23,13.98,few clouds
217,Manokwari,ID,-0.8667,134.0833,80.8,75,77,1.92,broken clouds
218,Atherton,GB,53.5237,-2.4935,60.22,94,96,1.99,overcast clouds
219,Torbay,CA,47.6666,-52.7314,64.58,84,42,4.0,scattered clouds
220,Tilichiki,RU,60.4667,166.1,55.17,42,34,4.68,scattered clouds
221,Bilsi,IN,28.1333,78.9167,83.05,78,89,7.94,light rain
222,Tautira,PF,-17.7333,-149.15,82.42,61,93,11.41,overcast clouds
223,Burns Lake,CA,54.2331,-125.7533,91.58,19,0,3.29,clear sky
224,Camacha,PT,33.0833,-16.3333,67.42,73,75,10.36,broken clouds
225,Xining,CN,36.6167,101.7667,56.05,71,5,2.82,clear sky
226,Jalu,LY,29.0331,21.5482,88.36,16,0,10.8,clear sky
227,Port-Gentil,GA,-0.7193,8.7815,76.55,75,47,13.53,scattered clouds
228,Dingle,PH,10.9995,122.6711,79.59,88,98,7.49,overcast clouds
229,Dukat,RU,62.55,155.55,46.36,84,77,14.92,light rain
230,Jumla,NP,29.2747,82.1838,63.93,91,100,2.13,overcast clouds
231,Charagua,BO,-19.8,-63.2167,65.77,39,96,5.82,overcast clouds
232,Yashkul,RU,46.1711,45.3435,78.64,30,30,4.81,scattered clouds
233,Ponta Do Sol,PT,32.6667,-17.1,71.13,57,15,9.46,few clouds
234,Srednekolymsk,RU,67.45,153.6833,37.42,98,100,13.35,light rain
235,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,48,5.37,scattered clouds
236,Mpulungu,ZM,-8.7623,31.1141,69.03,59,1,11.43,clear sky
237,Koumac,NC,-20.5667,164.2833,70.45,51,12,14.63,few clouds
