City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
174,Cordoba,AR,56.59,clear sky,-31.4135,-64.1811,Hotel Sussex
175,Flinders,AU,73.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
176,Sao Joao Da Barra,BR,66.76,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
177,Verkhnevilyuysk,RU,67.51,clear sky,63.4453,120.3167,Gostinitsa Mila
178,Tan An,VN,78.82,broken clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
179,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
182,East London,ZA,66.09,overcast clouds,-33.0153,27.9116,Tu Casa
183,Aland,IN,72.59,overcast clouds,17.5667,76.5667,ui
186,Miranda De Ebro,ES,57.63,scattered clouds,42.6865,-2.947,Hospedería El Convento
187,Millbury,US,73.85,clear sky,42.194,-71.7601,Red roof
188,Carnarvon,AU,53.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
189,Mae Sai,TH,75.43,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
191,Husyatyn,UA,68.5,broken clouds,49.0726,26.2141,Hotelʹ Zbruch
194,Gweta,BW,55.71,clear sky,-20.1833,25.2333,Gweta Lodge
195,Kotka,FI,61.86,clear sky,60.4664,26.9458,Merikotka
198,Hualmay,PE,64.98,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
199,Bagdarin,RU,53.11,overcast clouds,54.4333,113.6,Gostevoy Dom Terem
200,Constitucion,CL,52.75,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
201,Port Elizabeth,ZA,59.86,overcast clouds,-33.918,25.5701,39 On Nile Guest House
205,Pilas,ES,76.48,overcast clouds,37.3034,-6.301,Hotel Lince
206,Darhan,MN,59.74,broken clouds,49.4867,105.9228,Buudai Hotel
207,Richards Bay,ZA,60.46,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
209,Kruisfontein,ZA,56.26,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
210,Qasigiannguit,GL,57.45,scattered clouds,68.8193,-51.1922,Hotel Diskobay
212,Taybad,IR,75.0,clear sky,34.74,60.7756,لی پوش jean center
213,Talnakh,RU,53.22,few clouds,69.4865,88.3972,Talnakh Hotel
214,Komsomolskiy,UZ,76.42,broken clouds,40.4272,71.7189,Ikathouse
216,Moerai,PF,71.69,few clouds,-22.4333,-151.3333,Le Manotel
218,Atherton,GB,60.22,overcast clouds,53.5237,-2.4935,The Lion Inn
219,Torbay,CA,64.58,scattered clouds,47.6666,-52.7314,Gallows Cove
224,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
225,Xining,CN,56.05,clear sky,36.6167,101.7667,Super Leisure Hotel
227,Port-Gentil,GA,76.55,scattered clouds,-0.7193,8.7815,Fengshui Residence
228,Dingle,PH,79.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
230,Jumla,NP,63.93,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
231,Charagua,BO,65.77,overcast clouds,-19.8,-63.2167,Hotel
232,Yashkul,RU,78.64,scattered clouds,46.1711,45.3435,Bon Voyazh
233,Ponta Do Sol,PT,71.13,few clouds,32.6667,-17.1,Hotel do Campo
235,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
236,Mpulungu,ZM,69.03,clear sky,-8.7623,31.1141,Chela moche guest house
237,Koumac,NC,70.45,few clouds,-20.5667,164.2833,Le Monitel
